cbsa_code,msa_name,population,state_abbr,census_region,pop_stratum,rail_stratum,sm_stratum,stratum,has_rail,has_shared_mobility,n_agencies,agency_list,n_shared_mobility,shared_mobility_list,selection_method,sample_weight
35620,"New York-Newark-Jersey City, NY-NJ",19756722,NY,Northeast,Mega,Rail,SM,Mega_Rail_SM_Northeast,True,True,42,"City of Long Beach; MTA New York City Transit; Town of Huntington; Suffolk County ; Westchester County; Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad; New Jersey Transit Corporation; New York City Department of Transportation; County of Rockland ; Town of Clarkstown ; Putnam County ; Port Authority Trans-Hudson Corporation; Staten Island Rapid Transit Operating Authority; MTA Long Island Rail Road; Academy Lines, Inc.; Hudson Transit Lines, Inc.; Suburban Transit Corporation; Monsey New Square Trails Corporation; Rockland Coaches, Inc.; Community Transit, Inc. ; Lakeland Bus Lines, Inc.; Olympia Trails Bus Company, Inc.; Orange-Newark-Elizabeth, Inc.; Trans-Bridge Lines, Inc. ; Private Transportation Corporation; Kaser Bus Service; Adirondack Transit Lines, Inc.; MTA Bus Company; Port Imperial Ferry Corporation; Bergen County; County of Nassau; Somerset County; Morris County; County of Hunterdon; Hampton Jitney, Inc.; Broadway Bus Corporation; SeaStreak, LLC; Port Authority of Carteret; Barnegat Bay Decoy & Baymen's Museum; Monmouth County; New York City Economic Development Corporation; Licking County, Ohio",1,Citi Bike,mandatory_top10,1.0
31080,"Los Angeles-Long Beach-Anaheim, CA",13012469,CA,West,Mega,Rail,SM,Mega_Rail_SM_West,True,True,70,City of Santa Monica; City of Torrance; City of Norwalk ; Long Beach Transit; City of La Mirada ; Orange County Transportation Authority; City of Culver City; City of Montebello; City of Gardena; City of Commerce; City of Arcadia; Foothill Transit; City of Los Angeles; Southern California Regional Rail Authority; Los Angeles County Metropolitan Transportation Authority ; Access Services ; Anaheim Transportation Network; City of Redondo Beach; City of Alhambra; City of Azusa; City of Baldwin Park; City of Bell; City of Bell Gardens; City of Bellflower; City of Beverly Hills; City of Burbank; City of Calabasas; City of Carson; City of Cerritos; City of Compton ; City of Covina; City of Cudahy; City of Downey; City of El Monte ; City of Glendora; City of Huntington Park; City of Inglewood; Los Angeles County; Los Angeles County; Los Angeles County; Los Angeles County ; Los Angeles County; Los Angeles County; Los Angeles County; Los Angeles County; Los Angeles County ; Los Angeles County; Los Angeles County; City of Lynwood; City of Malibu; City of Manhattan Beach ; City of Maywood; City of Monrovia; City of Monterey Park; Palos Verdes Peninsula Transit Authority; City of Pico Rivera; City of Rosemead; City of Santa Fe Springs; City of South Gate; City of South Pasadena; City of West Covina; City of West Hollywood; City of Whittier; City of Claremont; City of Artesia; City of Lakewood ; City of Glendale; City of Pasadena; Pomona Valley Transportation Authority; Los Angeles County Metropolitan Transportation Authority ,1,Metro Bike Share,mandatory_top10,1.0
16980,"Chicago-Naperville-Elgin, IL-IN",9359555,IL,Midwest,Mega,Rail,SM,Mega_Rail_SM_Midwest,True,True,12,"City of East Chicago; Gary Public Transportation Corporation; Chicago Transit Authority; North Township of Lake County ; Northern Indiana Commuter Transportation District; Pace, the Suburban Bus Division of the Regional Transportation Authority; Northeast Illinois Regional Commuter Railroad Corporation; South Lake County Community Services, Inc.; Porter County Aging and Community Services, Inc.; Pace, the Suburban Bus Division of the Regional Transportation Authority; Northwestern Indiana Regional Planning Commission; Chicago Water Taxi (Wendella)",1,Divvy,mandatory_top10,1.0
19100,"Dallas-Fort Worth-Arlington, TX",7807555,TX,South,Mega,Rail,NoSM,Mega_Rail_NoSM_South,True,False,12,"Fort Worth Transportation Authority; City of Arlington; Dallas Area Rapid Transit; City of Grand Prairie ; City of Mesquite; City of Cleburne; STAR Transit; Public Transit Services; North Central Texas Council of Governments; McKinney Avenue Transit Authority; Community Services, Inc. ; Fort Worth Transportation Authority",0,,mandatory_top10,1.0
26420,"Houston-Pasadena-The Woodlands, TX",7274714,TX,South,Mega,Rail,NoSM,Mega_Rail_NoSM_South,True,False,10,"Metropolitan Transit Authority of Harris County, Texas ; Fort Bend County, Texas; Harris County; Harris County Improvement District 1 a.k.a. Uptown-Houston; Westchase District; Greater Southeast Management District; Harris County Improvement District Number 3; City of Conroe; The Woodlands Township; Midtown Management District",0,,mandatory_top10,1.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6263796,DC,South,Mega,Rail,SM,Mega_Rail_SM_South,True,True,12,"Washington Metropolitan Area Transit Authority; Montgomery County, Maryland; City of Fairfax; Fairfax County, VA; Potomac and Rappahannock Transportation Commission; City of Alexandria ; Virginia Railway Express; Arlington County, Virginia; Loudoun County; Prince George's County, Maryland; National Capital Region Transportation Planning Board; District Department of Transportation",1,Capital Bikeshare,mandatory_top10,1.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6241882,PA,Northeast,Mega,Rail,SM,Mega_Rail_SM_Northeast,True,True,10,"Port Authority Transit Corporation; Gloucester County; South Jersey Transportation Authority; Senior Citizens United Community Services of Camden County, Inc.; County of Burlington; Southeastern Pennsylvania Transportation Authority; Pennsylvania Department of Transportation; Delaware Transit Corporation; Borough of Pottstown; Cecil County Government ",1,Indego,mandatory_top10,1.0
12060,"Atlanta-Sandy Springs-Roswell, GA",6176937,GA,South,Mega,Rail,SM,Mega_Rail_SM_South,True,True,12,"Metropolitan Atlanta Rapid Transit Authority; Cobb County; County of Douglas; Gwinnett County Board of Commissioners; Cherokee County Board of Commissioners; Atlanta Regional Commission; Henry County ; Center for Pan Asian Community Services, Inc.; Bartow County ; Forsyth County Board of Commissioners; Coweta County; Atlanta-Region Transit Link Authority",1,Relay,mandatory_top10,1.0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6138876,FL,South,Mega,Rail,NoSM,Mega_Rail_NoSM_South,True,False,23,"Broward County Board of County Commissioners; County of Miami-Dade ; Board of County Commissioners, Palm Beach County; South Florida Regional Transportation Authority; City of Coconut Creek; City of Deerfield Beach; City of Lighthouse Point; City of Miramar ; Town of Hillsboro Beach; City of Hallandale Beach; City of Lauderdale Lakes; City of Pembroke Pines; City of Coral Springs; City of Lauderhill; City of Hollywood; City of Margate; City of Pompano Beach; City of Dania Beach; Town of Davie; City of North Lauderdale; Broward Metropolitan Planning Organization; City of Fort Lauderdale; City of Tamarac",0,,mandatory_top10,1.0
38060,"Phoenix-Mesa-Chandler, AZ",4941206,AZ,West,Large,Rail,NoSM,Large_Rail_NoSM_West,True,False,7,"City of Phoenix; City of Glendale ; City of Scottsdale ; Regional Public Transportation Authority; City of Peoria ; Valley Metro Rail, Inc.; City of Phoenix Public Transit Department",0,,mandatory_top10,1.0
